STORE_NBR,NCPDP_PROVIDER_ID,DISTRICT_NBR,REGION_NBR,OPERATION_NBR,STORE_TYPE,STORE_TYPE_DESC,RETAIL_CLINIC_IND,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE_ABBV,ZIP_CODE_5,COUNTY,OPEN_24_HOURS,LATITUDE,LONGITUDE
11521,4552510,165,1,2,1,Regular,N,10858 WURZBACH RD,N/A,SAN ANTONIO,TX,78230,BEXAR,N,29.539804,-98.552691
11522,4554665,16,1,2,1,Regular,N,496 HIGHWAY 96 S,N/A,SILSBEE,TX,77656,HARDIN,N,30.344875,-94.181116
11523,4610881,217,22,1,1,Regular,N,560 S MAIN ST,N/A,HEBER CITY,UT,84032,WASATCH,N,40.500844,-111.41446
11524,4610994,217,22,1,1,Regular,N,5627 W 13400 S,N/A,HERRIMAN,UT,84096,SALT LAKE,N,40.50740548,-112.0249666
11525,4844191,318,15,3,1,Regular,N,9372 RICHMOND HIGHWAY,N/A,LORTON,VA,22079,FAIRFAX,N,38.7064945,-77.20564975
11526,4704424,128,8,3,1,Regular,N,514 FARRELL ST,N/A,BURLINGTON,VT,5401,CHITTENDEN,N,44.451003,-73.206838
11527,4934089,189,2,1,1,Regular,N,2024 6TH AVE,N/A,TACOMA,WA,98403,PIERCE,N,47.25528523,-122.4637439
11528,5130656,47,12,4,1,Regular,N,1531 MADISON RD,N/A,BELOIT,WI,53511,ROCK,N,42.519113,-89.065696
11531,135043,253,18,2,1,Regular,N,16468 HIGHWAY 280,N/A,CHELSEA,AL,35043,SHELBY,N,33.349526,-86.62789935
11532,5638323,313,17,1,1,Regular,N,3300 BUENA VISTA RD,BLDG A,BAKERSFIELD,CA,93311,KERN,N,35.324724,-119.127483
11533,721767,208,16,3,1,Regular,N,1312 MANCHESTER RD,N/A,GLASTONBURY,CT,6033,HARTFORD,N,41.712539,-72.526012
11537,1000493,284,3,2,1,Regular,N,414 S MAGNOLIA DR,N/A,TALLAHASSEE,FL,32301,LEON,Y,30.43773443,-84.26233093
11538,1157545,207,23,3,1,Regular,N,4210 AUGUSTA RD,N/A,GARDEN CITY,GA,31408,CHATHAM,N,32.10360677,-81.14860274
11539,1157444,211,18,2,1,Regular,N,319 S BROAD ST,N/A,MONROE,GA,30655,WALTON,N,33.79082759,-83.71221194
11541,1307809,260,22,1,1,Regular,N,4110 S 10TH AVE,N/A,CALDWELL,ID,83605,CANYON,N,43.63299812,-116.6936803
11542,1456323,307,20,4,1,Regular,N,411 W LINCOLN AVE,N/A,CHARLESTON,IL,61920,COLES,N,39.48474221,-88.18556231
11544,1562049,300,25,4,1,Regular,N,13060 ADAMS RD,N/A,GRANGER,IN,46530,ST JOSEPH,N,41.75303726,-86.12215557
11545,2008200,325,8,3,1,Regular,N,437 WILSON ST,N/A,BREWER,ME,4412,PENOBSCOT,N,44.783296,-68.750307
11547,3459852,247,23,3,1,Regular,N,1500 E FRANKLIN ST,N/A,CHAPEL HILL,NC,27514,ORANGE,Y,35.929015,-79.034438
11550,3460110,256,23,3,1,Regular,N,4501 MARKET ST,N/A,WILMINGTON,NC,28405,NEW HANOVER,N,34.242053,-77.890285
11552,9999999,311,21,4,1,Regular,N,4201 13TH AVE S,N/A,FARGO,ND,58103,CASS,N,46.862302,-96.851509
11554,3061152,128,8,3,1,Regular,N,90 DERRY ST,N/A,HUDSON,NH,3051,HILLSBOROUGH,N,42.77557644,-71.44524917
11555,3358288,212,16,3,1,Regular,N,6628 18TH AVE,N/A,BROOKLYN,NY,11204,KINGS,N,40.61816016,-73.99135346
11558,3677171,140,13,3,1,Regular,N,5644 MAYFIELD RD,N/A,LYNDHURST,OH,44124,CUYAHOGA,N,41.519136,-81.476132
11559,3725174,228,14,1,1,Regular,N,1305 W CHEROKEE ST,N/A,WAGONER,OK,74467,WAGONER,N,35.95885953,-95.3937996
11560,3990442,330,15,3,1,Regular,N,949 LINCOLN WAY E,N/A,CHAMBERSBURG,PA,17201,FRANKLIN,N,39.932008,-77.644224
11561,3993056,224,29,3,1,Regular,N,400 WILKES BARRE TOWNSHIP BLVD,N/A,WILKES BARRE,PA,18702,LUZERNE,N,41.235197,-75.86453
11563,4227941,282,23,3,1,Regular,N,4361 HIGHWAY 24,N/A,ANDERSON,SC,29626,ANDERSON,N,34.51008298,-82.75801957
11564,4228777,184,23,3,1,Regular,N,7686 CHARLOTTE HWY,N/A,INDIAN LAND,SC,29707,LANCASTER,N,34.93586865,-80.83542018
11566,4549094,101,24,2,1,Regular,N,119 ED SCHMIDT BLVD,N/A,HUTTO,TX,78634,WILLIAMSON,N,30.541553,-97.563215
11567,4546543,171,24,2,1,Regular,N,26731 US HIGHWAY 380 E,N/A,AUBREY,TX,76227,DENTON,N,33.22143893,-96.93654253
11568,5900697,101,24,2,1,Regular,N,1821 FM 685,N/A,PFLUGERVILLE,TX,78660,TRAVIS,N,30.45489611,-97.60187078
11570,4842084,330,15,3,1,Regular,N,10980 FAIRFAX BLVD,N/A,FAIRFAX,VA,22030,FAIRFAX CITY,N,38.8538,-77.323916
11571,4841171,318,15,3,1,Regular,N,5650 PLANK RD,N/A,FREDERICKSBURG,VA,22407,SPOTSYLVANIA,N,38.290503,-77.566949
11572,4843620,226,15,3,1,Regular,N,500 SETTLERS LANDING RD,N/A,HAMPTON,VA,23669,HAMPTON CITY,N,37.0239519,-76.34948222
11573,4841018,330,15,3,1,Regular,N,645 E JUBAL EARLY DR,N/A,WINCHESTER,VA,22601,WINCHESTER CITY,N,39.16456763,-78.16367158
11576,5130290,250,12,4,1,Regular,N,1979 LIME KILN RD,N/A,BELLEVUE,WI,54311,BROWN,N,44.46515,-87.982304
11577,720804,208,16,3,18,Worksite Pharmacy,N,1 MOHEGAN SUN BLVD,N/A,UNCASVILLE,CT,6382,NEW LONDON,N,41.49258898,-72.09597887
11578,3675886,202,13,3,18,Worksite Pharmacy,N,14210 Scotts Lawn Rd.,N/A,Marysville,OH,43041,UNION,N,40.20608315,-83.31391484
11579,4544804,165,1,2,18,Worksite Pharmacy,N,1 LONE STAR PASS,STE 46,SAN ANTONIO,TX,78264,BEXAR,N,29.26336781,-98.52925199
11580,1025914,186,28,2,6,On-Site Pharmacy,N,1215 Dunn Ave Ste 2,N/A,Jacksonville,FL,32218,DUVAL,N,30.43150769,-81.66615098
11583,1025801,163,28,2,6,On-Site Pharmacy,N,1000 W BROADWAY ST STE101,N/A,OVIEDO,FL,32765,SEMINOLE,N,28.66860478,-81.22397759
11585,3724829,159,14,1,6,On-Site Pharmacy,N,700 24TH AVE NW,N/A,NORMAN,OK,73069,CLEVELAND,N,35.22682796,-97.47845268
11592,3354026,302,7,3,6,On-Site Pharmacy,N,711 Troy-Schenectady Ste108,N/A,Latham,NY,12110,ALBANY,N,42.75674414,-73.77745587
11593,3354064,105,16,3,6,On-Site Pharmacy,N,210 Westchester Ave,N/A,White Plains,NY,10604,WESTCHESTER,N,41.03304138,-73.75549099
11594,2133382,318,15,3,6,On-Site Pharmacy,N,110 Hospital Road Suite 100,N/A,Prince Frederick,MD,20678,CALVERT,N,38.56020978,-76.5954602
11595,3988245,172,29,3,6,On-Site Pharmacy,N,245 N BROAD ST,N/A,PHILADELPHIA,PA,19107,PHILADELPHIA,N,39.95682794,-75.16238696
11599,2586824,253,18,2,6,On-Site Pharmacy,N,2461 5th Street North,N/A,Columbus,MS,39705,LOWNDES,N,33.52172926,-88.42892341
11600,4440284,218,27,4,6,On-Site Pharmacy,N,601 Skyline Dr,N/A,Jackson,TN,38301,MADISON,N,35.63973841,-88.82976682
11601,2241800,308,8,3,6,On-Site Pharmacy,N,31 Hall Dr,N/A,Amherst,MA,1002,HAMPSHIRE,N,42.35833739,-72.48554289
11602,2241812,308,8,3,6,On-Site Pharmacy,N,70 MAIN STREET,N/A,FLORENCE,MA,1062,HAMPSHIRE,N,42.33496813,-72.67008011
11604,720765,208,16,3,2,Walgreen Pharmacy,N,220 ALBANY TPKE,N/A,CANTON,CT,6019,HARTFORD,N,41.82632168,-72.89802708
11605,720816,125,16,3,2,Walgreen Pharmacy,N,73 CENTER ST,N/A,SHELTON,CT,6484,FAIRFIELD,N,41.31614903,-73.09426779
11607,2369622,221,7,3,1,Regular,N,25905 5 MILE RD,N/A,REDFORD,MI,48239,WAYNE,N,42.39896779,-83.29790992
11610,320604,205,5,1,1,Regular,N,2000 S MILL AVE,N/A,TEMPE,AZ,85282,MARICOPA,Y,33.40697216,-111.9402833
11611,5638967,180,17,1,1,Regular,N,50040 HARRISON ST,N/A,COACHELLA,CA,92236,RIVERSIDE,N,33.6848599,-116.1807945
11612,5631468,210,22,1,1,Regular,N,12 W HANFORD ARMONA RD,N/A,LEMOORE,CA,93245,KINGS,N,36.31370758,-119.7814959
11614,5630389,58,11,1,1,Regular,N,2750 PINOLE VALLEY RD,N/A,PINOLE,CA,94564,CONTRA COSTA,N,37.99492657,-122.2866651
11615,620787,271,26,1,1,Regular,N,24250 E SMOKY HILL RD,N/A,AURORA,CO,80016,ARAPAHOE,N,39.59654472,-104.7055377
11616,621068,271,26,1,1,Regular,N,7510 S GARTRELL RD,N/A,AURORA,CO,80016,ARAPAHOE,N,39.57949316,-104.7241422
11617,620799,204,26,1,1,Regular,N,750 W VICTORY WAY,N/A,CRAIG,CO,81625,MOFFAT,N,40.51389859,-107.556128
11619,714128,125,16,3,1,Regular,N,144 BANK ST,N/A,SEYMOUR,CT,6483,NEW HAVEN,N,41.397602,-73.077898
11620,721692,263,16,3,1,Regular,N,1203 HIGH RIDGE RD,N/A,STAMFORD,CT,6905,FAIRFIELD,N,41.11026486,-73.54571046
11621,803761,297,15,3,1,Regular,N,22898 SUSSEX HWY,N/A,SEAFORD,DE,19973,SUSSEX,Y,38.66191422,-75.59500172
11622,1307885,260,22,1,1,Regular,N,1725 1ST ST,N/A,IDAHO FALLS,ID,83401,BONNEVILLE,N,43.49737569,-111.999863
11623,1530561,300,25,4,1,Regular,N,102 E HIVELY AVE,N/A,ELKHART,IN,46517,ELKHART,N,41.65978603,-85.9647749
11624,1562974,135,25,4,1,Regular,N,1330 W 86TH ST,N/A,INDIANAPOLIS,IN,46260,MARION,Y,39.91261722,-86.18290248
11625,1562544,300,25,4,1,Regular,N,4620 LINCOLNWAY E,N/A,MISHAWAKA,IN,46544,ST JOSEPH,N,41.66385478,-86.10779332
11626,2638128,191,14,1,1,Regular,N,917 WASHINGTON ST,N/A,CHILLICOTHE,MO,64601,LIVINGSTON,N,39.79671,-93.553162
11627,2637936,118,20,4,1,Regular,N,3800 ELM ST,N/A,SAINT CHARLES,MO,63301,SAINT CHARLES,N,38.821855,-90.516201
11628,2637962,118,20,4,1,Regular,N,10 E HIGHWAY N,N/A,WENTZVILLE,MO,63385,SAINT CHARLES,N,38.774088,-90.862993
11629,3410115,245,23,3,1,Regular,N,2427 SPRINGS RD NE,N/A,HICKORY,NC,28601,CATAWBA,N,35.75294131,-81.28628672
11630,3608087,113,13,3,1,Regular,N,6918 HAMILTON AVE,N/A,CINCINNATI,OH,45231,HAMILTON,Y,39.21826996,-84.54893561
11631,3676840,113,13,3,1,Regular,N,1198 W KEMPER RD,N/A,FOREST PARK,OH,45240,HAMILTON,N,39.289294,-84.522477
11632,3843148,239,2,1,1,Regular,N,2150 FAIRGROUNDS RD NE,N/A,SALEM,OR,97301,MARION,N,44.95725595,-123.0178858
11633,4107226,154,8,3,1,Regular,N,1209 MAIN ST,N/A,RICHMOND,RI,2898,WASHINGTON,N,41.513209,-71.696773
11634,4441616,267,27,4,1,Regular,N,7971 RHEA COUNTY HWY,N/A,DAYTON,TN,37321,RHEA,N,35.518599,-84.998947
11635,4930980,189,2,1,1,Regular,N,6708 NE 63RD ST,N/A,VANCOUVER,WA,98661,CLARK,N,45.66829461,-122.6035307
11636,5130353,131,12,4,1,Regular,N,S70W15775 JANESVILLE RD,N/A,MUSKEGO,WI,53150,WAUKESHA,N,42.918477,-88.109004
11638,1057341,156,6,2,1,Regular,N,15050 BISCAYNE BLVD,N/A,NORTH MIAMI,FL,33181,MIAMI-DADE,N,25.91456,-80.15712757
11639,3361540,302,7,3,1,Regular,N,1476 ROUTE 9,N/A,HALFMOON,NY,12065,SARATOGA,N,42.83482403,-73.74050075
11641,3358264,291,16,3,1,Regular,N,1300 FRANKLIN AVE,N/A,GARDEN CITY,NY,11530,NASSAU,N,40.73520892,-73.63820072
11643,3843287,239,2,1,1,Regular,N,1675 COBURG RD,N/A,EUGENE,OR,97401,LANE,N,44.08084413,-123.0672775
11645,4550578,182,24,2,1,Regular,N,10152 LAKE JUNE RD,N/A,DALLAS,TX,75217,DALLAS,N,32.734109,-96.64811
11646,4548016,10,1,2,1,Regular,N,4585 RESEARCH FOREST DR,N/A,THE WOODLANDS,TX,77381,MONTGOMERY,N,30.18383276,-95.48754159
11647,5130783,47,12,4,1,Regular,N,717 8TH AVE,N/A,MONROE,WI,53566,GREEN,N,42.60465641,-89.6511475
